arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,53.95601673640167,12.844239888423989,2.629710016896772,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,8.900367642956764,7.231854951185495,4.040439595166509,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,12.609169874476986,8.692217573221757,4.055722360280841,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,67.65858298465831,14.939079497907949,2.694552104617612,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,77.67054839609484,16.361171548117156,2.4242143603857422,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,21.959000278940024,9.545662482566248,3.1670856279056916,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,48.004957880055784,13.89634588563459,2.679206452695005,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,18.205015341701532,9.071966527196652,4.091854408385926,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,10.24239051603905,7.485020920502092,4.014418892895405,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,23.187030962343098,9.981757322175731,3.9016381269554574,MAPO-PPO,100%,MAPO-PPO/100%
ppo,0.2,24.242177963737795,11.916708507670851,2.918812511595758,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,84.82987057182704,17.320223152022315,2.139965511689838,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,25.975528033472806,12.48044630404463,2.708062015178853,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,33.36448368200836,13.481004184100419,2.5483905439474337,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,61.7252390516039,15.439330543933053,2.358770479681418,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,113.36071129707112,19.31576011157601,2.07533740912538,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,17.528289539748954,11.267280334728035,2.933317904451075,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,63.14634644351464,17.170767085076708,2.1179910029524662,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,91.05362622036263,19.72507670850767,2.14888923286155,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,22.3766359832636,11.922622036262203,2.815317368513648,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.1,30.004580753138075,16.547838214783823,2.339179304623927,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,37.16916317991632,17.63670850767085,2.2981240937523455,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,16.66953138075314,12.672914923291492,2.451372179112645,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,50.512093165969304,17.14471408647141,2.100609268823823,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,28.54364574616458,15.126471408647141,2.30335953820891,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,24.367973221757325,13.672468619246864,2.3033038351506074,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,28.389279776847978,14.164741980474197,2.509586065568662,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,15.776715760111577,13.95587168758717,2.3886052654901335,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,46.112981311018125,18.556094839609486,2.166701729275862,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,40.23079107391911,16.575899581589958,2.231359124131096,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.05,82.44366861924686,30.810822873082287,1.3251509639420849,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,19.522016178521618,20.046750348675033,1.5670958889100433,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,37.063523012552295,22.13193863319386,1.4675332100326643,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,17.36308061366806,17.333891213389123,1.7802438760404364,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,45.28436094839609,22.190348675034866,1.5811565255102233,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,20.896967921896792,19.697684797768478,1.7667927167066022,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,25.581632357043237,19.57082287308229,1.7914336417282726,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,21.561312133891214,21.7713249651325,1.776357882283103,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,20.662767085076705,21.21857740585774,1.6714489856321681,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,19.030452440725245,18.73952580195258,1.6965265448285511,MAPO-PPO,5%,MAPO-PPO/5%
uniform,uniform,47.3618702462242,20.11258019525802,1.7989820137540706,Fixed time,FO,Fixed time
uniform,uniform,49.371306507390884,19.152412831241282,1.817815473274616,Fixed time,FO,Fixed time
uniform,uniform,48.811207374801036,22.604518828451884,1.6471232369144604,Fixed time,FO,Fixed time
uniform,uniform,45.00649131812125,19.206248256624825,1.7885054291882472,Fixed time,FO,Fixed time
uniform,uniform,42.1909805934475,18.765801952580194,1.914901024319118,Fixed time,FO,Fixed time
uniform,uniform,53.392475877909305,20.031297071129707,1.8180483229836797,Fixed time,FO,Fixed time
uniform,uniform,41.87853665365292,20.26041841004184,1.776671551738104,Fixed time,FO,Fixed time
uniform,uniform,42.40620511943092,18.912022315202233,1.8681762188449433,Fixed time,FO,Fixed time
uniform,uniform,41.08912600519513,18.879386331938633,1.8804931824855178,Fixed time,FO,Fixed time
uniform,uniform,47.18368563769942,20.59241283124128,1.7255384109407128,Fixed time,FO,Fixed time
maxpressure,maxpressure,51.72742167125518,18.986164574616456,2.0797763281819406,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,51.438314331192025,16.37160390516039,2.2308745907325886,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,41.674137904216764,16.029623430962342,2.3059890739182998,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,55.979960906918016,16.764407252440726,2.249814034786222,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,47.51418290792386,15.548563458856345,2.4600963287650766,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,68.32478366593561,16.243068340306834,2.269836558494245,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,39.57642075355285,15.005969316596932,2.388190455759631,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,44.25367469785818,15.19670850767085,2.350363058811313,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,44.33673971991932,15.65350069735007,2.347252595825591,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,60.19451141424669,14.707559274755926,2.353474021029109,MaxPressure,FO,MaxPressure
websters,websters,33.57847910282933,17.296066945606693,2.0791445789716856,Websters,FO,Websters
websters,websters,40.18312049898119,18.063152022315204,1.9896152431691436,Websters,FO,Websters
websters,websters,36.42551834626931,16.248033472803346,2.1626907739805405,Websters,FO,Websters
websters,websters,38.826377979292076,17.992189679218967,2.0633449073220844,Websters,FO,Websters
websters,websters,34.67260840034634,17.012831241283124,2.083587627963186,Websters,FO,Websters
websters,websters,40.981542258377274,18.258688981868897,2.0187850103359986,Websters,FO,Websters
websters,websters,36.38456393585417,18.927085076708508,2.03734420657438,Websters,FO,Websters
websters,websters,40.91862520933464,19.534114365411437,1.9503966694876247,Websters,FO,Websters
websters,websters,37.03814945585956,17.617852161785216,2.076886676908102,Websters,FO,Websters
websters,websters,43.408242729671855,20.95548117154812,1.7939483989898475,Websters,FO,Websters
